 Key|US English
HUD_FRONTEND_UPGRADES_DESC_IAP2|Travel through time with 14 new park scenarios based on historical and fantasy time-themes and build a park that is truly a blast from the past (or future if you like)\nPlay in a Prehistoric amusement park decorated with huge animated T-Rex's and coasters such as the Raptor Ride, or choose from Mythological times, the Dark Ages, the Rock & Roll crazed '50s, the Future or the Roaring Twenties.
HUD_FRONTEND_UPGRADES_DESC_IAP3|Редактор сценариев: Создай свой сценарий и построй идеальный парк!
HUD_FRONTEND_UPGRADES_DESC_IAP3|Park Scenario Editor: Design and build your own amazing parks - Make them as easy or as challenging as you want, using your choice of scenery and rides!\nRide Designer: Build, test, fine-tune and theme your own awesome roller coaster designs in the Ride Designer before saving them for use while playing!\nImport and Export: Share your saved parks, park scenarios and ride designs with friends, and try out their creations too! (Includes the ability to import most saved parks and scenarios created with the original RollerCoaster Tycoon 2 PC game)
HUD_FRONTEND_UPGRADES_BUTTON_RESTORE|Восстановить покупки
HUD_FRONTEND_UPGRADES_BUTTON_RESTORE|Restore Purchases
HUD_FRONTEND_UPGRADES_PURCHASED|КУПЛЕНО!
HUD_FRONTEND_UPGRADES_PURCHASED|PURCHASED!



HUD_FRONTEND_CREDITS_TITLE|О нас
HUD_FRONTEND_CREDITS_TITLE|About
HUD_FRONTEND_CREDITS_COPYRIGHT_1|
HUD_FRONTEND_CREDITS_COPYRIGHT_1|© Chris Sawyer 1999-2016. All Rights Reserved.
HUD_FRONTEND_CREDITS_COPYRIGHT_2|
HUD_FRONTEND_CREDITS_COPYRIGHT_2|RollerCoaster Tycoon® is a registered trademark of Chris Sawyer. ©2016 Chris Sawyer.
HUD_FRONTEND_CREDITS_COPYRIGHT_3|Все права защищены.
HUD_FRONTEND_CREDITS_COPYRIGHT_3|All other trademarks are the property of their respective owners.
HUD_FRONTEND_CREDITS_LINE_0|
HUD_FRONTEND_CREDITS_LINE_0|Developed by Origin8 Technologies Ltd.
HUD_FRONTEND_CREDITS_LINE_1|Продюссер
HUD_FRONTEND_CREDITS_LINE_1|Producer
HUD_FRONTEND_CREDITS_LINE_2|
HUD_FRONTEND_CREDITS_LINE_2|Laurence McDonald
HUD_FRONTEND_CREDITS_LINE_3|Программист
HUD_FRONTEND_CREDITS_LINE_3|Programming
HUD_FRONTEND_CREDITS_LINE_4|
HUD_FRONTEND_CREDITS_LINE_4|Steve Clark and Jas Austin\nPaul Jackman (support)
HUD_FRONTEND_CREDITS_LINE_5|Графика
HUD_FRONTEND_CREDITS_LINE_5|Graphics
HUD_FRONTEND_CREDITS_LINE_6|
HUD_FRONTEND_CREDITS_LINE_6|Laurence McDonald
HUD_FRONTEND_CREDITS_LINE_7|Заместитель продюссера
HUD_FRONTEND_CREDITS_LINE_7|Executive Producer
HUD_FRONTEND_CREDITS_LINE_8|
HUD_FRONTEND_CREDITS_LINE_8|Chris Sawyer
HUD_FRONTEND_CREDITS_LINE_9|
HUD_FRONTEND_CREDITS_LINE_9|\n
HUD_FRONTEND_CREDITS_LINE_10|
HUD_FRONTEND_CREDITS_LINE_10|Originally created for the PC as RollerCoaster Tycoon® 2 by Chris Sawyer
HUD_FRONTEND_CREDITS_LINE_11|Дизайн и код
HUD_FRONTEND_CREDITS_LINE_11|Design and Programming
HUD_FRONTEND_CREDITS_LINE_12|
HUD_FRONTEND_CREDITS_LINE_12|Chris Sawyer
HUD_FRONTEND_CREDITS_LINE_13|Музыка
HUD_FRONTEND_CREDITS_LINE_13|Sound and Music
HUD_FRONTEND_CREDITS_LINE_14|
HUD_FRONTEND_CREDITS_LINE_14|Allister Brimble
HUD_FRONTEND_CREDITS_LINE_15|Графика
HUD_FRONTEND_CREDITS_LINE_15|Graphics
HUD_FRONTEND_CREDITS_LINE_16|
HUD_FRONTEND_CREDITS_LINE_16|Simon Foster
HUD_FRONTEND_CREDITS_LINE_17|Спасибо
HUD_FRONTEND_CREDITS_LINE_17|Thanks to
HUD_FRONTEND_CREDITS_LINE_18|
HUD_FRONTEND_CREDITS_LINE_18|Jacqui Lyons, Guy Herbert, John Wardley, Peter James Adcock and David Ellis
HUD_FRONTEND_CREDITS_LINE_19|
HUD_FRONTEND_CREDITS_LINE_19|Additional Credits
HUD_FRONTEND_CREDITS_LINE_20|
HUD_FRONTEND_CREDITS_LINE_20|Audio engine : FMOD Studio by Firelight Technologies\nWacky Worlds and Time Twister expansion packs created by\nFrontier Developments Ltd for Chris Sawyer\nQA by Babel (A Keywords Studio):\nCarlos Cusicanqui (lead), Jonathan Hanley, David Monk\nMichael Lacefield and David Parizo
HUD_FRONTEND_CREDITS_COPYRIGHTCHRIS|
HUD_FRONTEND_CREDITS_COPYRIGHTCHRIS|RollerCoaster Tycoon® Classic © Chris Sawyer 1999-2016. All Rights Reserved.\nOriginally created for the PC as RollerCoaster Tycoon® 2 by Chris Sawyer.\nRollerCoaster Tycoon® is a registered trademark of Chris Sawyer.\nAll other trademarks are the property of their respective owners.
HUD_FRONTEND_CREDITS_PUBLISHINFO|
HUD_FRONTEND_CREDITS_PUBLISHINFO|©2016 Atari and the Atari logo are registered trademarks of Atari Interactive, Inc.
HUD_FRONTEND_CREDITS_MUSIC_HEADING|
HUD_FRONTEND_CREDITS_MUSIC_HEADING|Music acknowledgements
HUD_FRONTEND_CREDITS_MUSIC_1|
HUD_FRONTEND_CREDITS_MUSIC_1|RollerCoaster Tycoon Title Music: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_2|
HUD_FRONTEND_CREDITS_MUSIC_2|RollerCoaster Tycoon 2 Title Music: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_3|
HUD_FRONTEND_CREDITS_MUSIC_3|Dodgems Beat: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_4|
HUD_FRONTEND_CREDITS_MUSIC_4|Mid Summer's Heat: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_5|
HUD_FRONTEND_CREDITS_MUSIC_5|Pharaoh's Tomb: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_6|
HUD_FRONTEND_CREDITS_MUSIC_6|Caesar's March: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_7|
HUD_FRONTEND_CREDITS_MUSIC_7|Drifting To Heaven: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_8|
HUD_FRONTEND_CREDITS_MUSIC_8|Invaders: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_9|
HUD_FRONTEND_CREDITS_MUSIC_9|Eternal Toybox: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_10|
HUD_FRONTEND_CREDITS_MUSIC_10|Jungle Juice: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_11|
HUD_FRONTEND_CREDITS_MUSIC_11|Ninja's Noodles: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_12|
HUD_FRONTEND_CREDITS_MUSIC_12|Voyage to Andromeda: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_13|
HUD_FRONTEND_CREDITS_MUSIC_13|Brimble's Beat: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_14|
HUD_FRONTEND_CREDITS_MUSIC_14|Atlantis: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_15|
HUD_FRONTEND_CREDITS_MUSIC_15|Wild West Kid: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_16|
HUD_FRONTEND_CREDITS_MUSIC_16|Vampire's Lair: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_17|
HUD_FRONTEND_CREDITS_MUSIC_17|Blockbuster: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_18|
HUD_FRONTEND_CREDITS_MUSIC_18|Airtime Rock: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_19|
HUD_FRONTEND_CREDITS_MUSIC_19|Searchlight Rag: (Scott Joplin/Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_20|
HUD_FRONTEND_CREDITS_MUSIC_20|Flight of Fantasy: (Steve Blenkinsopp) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_21|
HUD_FRONTEND_CREDITS_MUSIC_21|Big Rock: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_22|
HUD_FRONTEND_CREDITS_MUSIC_22|Hypothermia: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_23|
HUD_FRONTEND_CREDITS_MUSIC_23|Last Sleigh Ride: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_24|
HUD_FRONTEND_CREDITS_MUSIC_24|Pipes of Glencairn: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_25|
HUD_FRONTEND_CREDITS_MUSIC_25|Traffic Jam: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_26|
HUD_FRONTEND_CREDITS_MUSIC_26|(Samples courtesy of Spectrasonics "Liquid Grooves")
HUD_FRONTEND_CREDITS_MUSIC_27|
HUD_FRONTEND_CREDITS_MUSIC_27|Toccata: (C.M.Widor, played by Peter James Adcock) recording © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_28|
HUD_FRONTEND_CREDITS_MUSIC_28|Space Rock: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_29|
HUD_FRONTEND_CREDITS_MUSIC_29|Manic Mechanic: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_30|
HUD_FRONTEND_CREDITS_MUSIC_30|Techno Torture: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_31|
HUD_FRONTEND_CREDITS_MUSIC_31|Sweat Dreams: (Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_32|
HUD_FRONTEND_CREDITS_MUSIC_32|What shall we do with the Drunken Sailor: (Anon/Allister Brimble) copyright © Chris Sawyer
HUD_FRONTEND_CREDITS_MUSIC_33|
HUD_FRONTEND_CREDITS_MUSIC_33|\n
HUD_FRONTEND_CREDITS_MUSIC_34|
HUD_FRONTEND_CREDITS_MUSIC_34|March - Children of the Regiment: (Fucik) non copyright
HUD_FRONTEND_CREDITS_MUSIC_35|
HUD_FRONTEND_CREDITS_MUSIC_35|Heyken's Serenade: (J.Heyken) British Standard Music Coy; GEMA, BRITICO
HUD_FRONTEND_CREDITS_MUSIC_36|
HUD_FRONTEND_CREDITS_MUSIC_36|In Continental Mood: (Composer unknown) Copyright Control
HUD_FRONTEND_CREDITS_MUSIC_37|
HUD_FRONTEND_CREDITS_MUSIC_37|Wedding Journey: (Traditional)
HUD_FRONTEND_CREDITS_MUSIC_38|
HUD_FRONTEND_CREDITS_MUSIC_38|Tales from the Vienna Woods: (Johann Strauss) non copyright
HUD_FRONTEND_CREDITS_MUSIC_39|
HUD_FRONTEND_CREDITS_MUSIC_39|Slavonic Dance: (Traditional)
HUD_FRONTEND_CREDITS_MUSIC_40|
HUD_FRONTEND_CREDITS_MUSIC_40|Das Alpenhorn: (Traditional)
HUD_FRONTEND_CREDITS_MUSIC_41|
HUD_FRONTEND_CREDITS_MUSIC_41|The Blond Sailor: (Traditional)
HUD_FRONTEND_CREDITS_MUSIC_42|
HUD_FRONTEND_CREDITS_MUSIC_42|Overture - Poet and Peasant: (Suppe) non copyright
HUD_FRONTEND_CREDITS_MUSIC_43|
HUD_FRONTEND_CREDITS_MUSIC_43|Waltz Medley: (Johann Strauss) non copyright
HUD_FRONTEND_CREDITS_MUSIC_44|
HUD_FRONTEND_CREDITS_MUSIC_44|Bella Bella Bimba: (Traditional)
HUD_FRONTEND_CREDITS_MUSIC_45|
HUD_FRONTEND_CREDITS_MUSIC_45|Original recordings (P) 1976 C.J.Mears Organisation, used with consent


HUD_MAIN_PARK_RATING|Рейтинг парка
HUD_MAIN_PARK_RATING|Park rating
HUD_MAIN_PROFIT|Прибыль
HUD_MAIN_PROFIT|Profit
HUD_MAIN_PARK_VALUE|Стоимость парка
HUD_MAIN_PARK_VALUE|Park Value
HUD_MAIN_PER_WEEK|в неделю
HUD_MAIN_PER_WEEK|per week
HUD_MAIN_GUESTS|Посетители
HUD_MAIN_GUESTS|Guests



HUD_MESSAGES_RECENT_MESSAGES|Полученые сообщения
HUD_MESSAGES_RECENT_MESSAGES|Recent messages



HUD_TERRAFORM_RAISE_COST|Выше
HUD_TERRAFORM_RAISE_COST|Raise cost
HUD_TERRAFORM_LOWER_COST|Ниже
HUD_TERRAFORM_LOWER_COST|Lower cost
HUD_TERRAFORM_LAND_INFO|Выше /Ниже земля
HUD_TERRAFORM_LAND_INFO|Raise / Lower land
HUD_TERRAFORM_WATER_INFO|Выше /Ниже вода
HUD_TERRAFORM_WATER_INFO|Raise / Lower water
HUD_TERRAFORM_CLEAR_INFO|Очистить землю
HUD_TERRAFORM_CLEAR_INFO|Clear land
HUD_TERRAFORM_CLEAR_COST|Стоимость очистки
HUD_TERRAFORM_CLEAR_COST|Clear cost
HUD_TERRAFORM_STRETCH_INFO|Удалить землю
HUD_TERRAFORM_STRETCH_INFO|Stretch land



HUD_SCENERY_BUILD|ПОСТРОИТЬ
HUD_SCENERY_BUILD|BUILD
HUD_SCENERY_REMOVE|УДАЛИТЬ
HUD_SCENERY_REMOVE|REMOVE
HUD_SCENERY_TAP_AGAIN_TO_BUILD|Нажмите ещё раз, чтобы построить
HUD_SCENERY_TAP_AGAIN_TO_BUILD|Tap again to build
HUD_SCENERY_TAP_SCENERY_TO_REPAINT|Нажмите, чтобы перекрасить
HUD_SCENERY_TAP_SCENERY_TO_REPAINT|Tap scenery to repaint
HUD_SCENERY_SELECT_POSITION|выберите место
HUD_SCENERY_SELECT_POSITION|select location
HUD_SCENERY_TAP_SCENERY|нажмите
HUD_SCENERY_TAP_SCENERY|tap scenery
HUD_SCENERY_TAP_TO_MATCH_HEIGHT|Нажмите, что увидеть вес
HUD_SCENERY_TAP_TO_MATCH_HEIGHT|Tap item on view to match height



HUD_RIDE_CURRENTLY_IN_DEVELOPMENT|Успех в разработке
HUD_RIDE_CURRENTLY_IN_DEVELOPMENT|Currently in development
HUD_RIDE_TYPE|
HUD_RIDE_TYPE|Type
HUD_RIDE_PROGRESS|Прогресс
HUD_RIDE_PROGRESS|Progress
HUD_RIDE_EXPECTED|Исследование
HUD_RIDE_EXPECTED|Expected
HUD_RIDE_LAST_DEVELOPMENT|Последняя разработка
HUD_RIDE_LAST_DEVELOPMENT|Last development
HUD_RIDE_RIDE_ATTRACTION|Горки / Аттракционы
HUD_RIDE_RIDE_ATTRACTION|Ride / Attraction
HUD_RIDE_TREE_SCENERY|Тема
HUD_RIDE_TREE_SCENERY|Scenery / Themeing
HUD_RIDE_CUSTOM_DESIGNED_LAYOUT|Случайно
HUD_RIDE_CUSTOM_DESIGNED_LAYOUT|Custom-designed layout
HUD_RIDE_DESIGNS_AVAILABLE|выбрать дизайн или случайный дизайн
HUD_RIDE_DESIGNS_AVAILABLE|designs available, or custom-designed layout
HUD_RIDE_NOT_CURRENTLY_IMPLEMENTED|Нет выбора
HUD_RIDE_NOT_CURRENTLY_IMPLEMENTED|Not currently implemented
HUD_RIDE_SELECT_DESIGN|Изменить дизайн
HUD_RIDE_SELECT_DESIGN|Select design
HUD_RIDE_MANAGE_DESIGNS|Стоимость 
HUD_RIDE_MANAGE_DESIGNS|Manage designs
HUD_RIDE_INCLUDE_SCENERY|Исследование
HUD_RIDE_INCLUDE_SCENERY|Include scenery
HUD_RIDE_DESIGN_INCLUDES_SCENERY|
HUD_RIDE_DESIGN_INCLUDES_SCENERY|(Design includes scenery which is unavailable)
HUD_RIDE_VEHICLE_DESIGN_UNAVAILABLE|
HUD_RIDE_VEHICLE_DESIGN_UNAVAILABLE|(Vehicle design unavailable - Ride performance may be affected)
HUD_RIDE_GOLF_HOLES|Аттракционы
HUD_RIDE_GOLF_HOLES|Holes
HUD_RIDE_SPACE_REQUIRED|Космос 
HUD_RIDE_SPACE_REQUIRED|Space required
HUD_RIDE_BLOCKS|стоп
HUD_RIDE_BLOCKS|blocks
HUD_RIDE_NAUSEA_RATING|Тошнота
HUD_RIDE_NAUSEA_RATING|Nausea rating
HUD_RIDE_APPROX|
HUD_RIDE_APPROX|(approx.)
HUD_RIDE_INTENSITY_RATING|Интенсивность
HUD_RIDE_INTENSITY_RATING|Intensity rating
HUD_RIDE_EXCITEMENT_RATING|Страх
HUD_RIDE_EXCITEMENT_RATING|Excitement rating
HUD_RIDE_INVERSIONS|Инверсия
HUD_RIDE_INVERSIONS|Inversions
HUD_RIDE_HIGHEST_DROP_HEIGHT|Высота
HUD_RIDE_HIGHEST_DROP_HEIGHT|Highest drop height
HUD_RIDE_DROPS|Спуск
HUD_RIDE_DROPS|Drops
HUD_RIDE_TOTAL_AIR_TIME|Время 'парения'
HUD_RIDE_TOTAL_AIR_TIME|Total 'air' time
HUD_RIDE_MAX_LATERAL_G|Макс. перегрузка
HUD_RIDE_MAX_LATERAL_G|Max. lateral G's
HUD_RIDE_MAX_NEGATIVE_G|Макс. перегрузка (вредная)
HUD_RIDE_MAX_NEGATIVE_G|Max. negative G's
HUD_RIDE_MAX_POSITIVE_G|Макс. перегрузка (позитивная)
HUD_RIDE_MAX_POSITIVE_G|Max. positive G's
HUD_RIDE_RIDE_TIME|Время катания
HUD_RIDE_RIDE_TIME|Ride time
HUD_RIDE_RIDE_LENGTH|Длина горки
HUD_RIDE_RIDE_LENGTH|Ride length
HUD_RIDE_AVERAGE_SPEED|Скорость
HUD_RIDE_AVERAGE_SPEED|Average speed
HUD_RIDE_MAX_SPEED|Макс. Скорость
HUD_RIDE_MAX_SPEED|Max. Speed
HUD_RIDE_MAX_POSITIVE_VERTICAL_G|Макс. веселье от перегрузки при подъеме
HUD_RIDE_MAX_POSITIVE_VERTICAL_G|Max. positive vertical G's
HUD_RIDE_MAX_NEGATIVE_VERTICAL_G|Макс. вред от перегрузки при подъеме
HUD_RIDE_MAX_NEGATIVE_VERTICAL_G|Max. negative vertical G's
HUD_RIDE_MAX_SELECT|Выбор
HUD_RIDE_MAX_SELECT|Select
HUD_RIDE_MAX_DESIGN|Дизайн
HUD_RIDE_MAX_DESIGN|Design
HUD_RIDE_FAILED_TO_DELETE|Не удалось удалить
HUD_RIDE_FAILED_TO_DELETE|Failed to delete
HUD_RIDE_UNABLE_TO_DELETE|Удалить
HUD_RIDE_UNABLE_TO_DELETE|Unable to delete
HUD_RIDE_INTERNAL_DATA|Дата выпуска
HUD_RIDE_INTERNAL_DATA|Internal data
HUD_RIDE_WARNING_THIS_DESIGN|Примечание: Этот дизайн будет построен с другим выбором темы
HUD_RIDE_WARNING_THIS_DESIGN|Warning: This design will be built with an alternative vehicle type\nand may not perform as expected
HUD_RIDE_UNABLE_TO_RENAME_TO|Изменить имя
HUD_RIDE_UNABLE_TO_RENAME_TO|Unable to re-name to
HUD_RIDE_FILENAME_UNSUITABLE|Имя файла сохранения
HUD_RIDE_FILENAME_UNSUITABLE|Filename unsuitable
HUD_RIDE_BUILD_CUSTOM_DESIGN|Случайный дизайн
HUD_RIDE_BUILD_CUSTOM_DESIGN|Build Custom Design
HUD_RIDE_ENTRANCE|Вход
HUD_RIDE_ENTRANCE|Entrance
HUD_RIDE_EXIT|Выход
HUD_RIDE_EXIT|Exit
HUD_RIDE_SPECIAL|Специальные
HUD_RIDE_SPECIAL|Special
HUD_RIDE_SELECT_ENTRANCE_POSITION|выбор входа\nlocation
HUD_RIDE_SELECT_ENTRANCE_POSITION|select entrance\nlocation
HUD_RIDE_SELECT_EXIT_POSITION|выбор выхода\nlocation
HUD_RIDE_SELECT_EXIT_POSITION|select exit\nlocation
HUD_RIDE_SELECT_ENTRANCE_POSITION_1|выберите расположение входа
HUD_RIDE_SELECT_ENTRANCE_POSITION_1|select entrance location
HUD_RIDE_SELECT_EXIT_POSITION_1|выберите расположение выхода
HUD_RIDE_SELECT_EXIT_POSITION_1|select exit location
HUD_RIDE_BUILD_ENTRANCE|ПОСТРОИТЬ ВХОД
HUD_RIDE_BUILD_ENTRANCE|BUILD ENTRANCE
HUD_RIDE_BUILD_EXIT|ПОСТРОИТЬ ВЫХОД
HUD_RIDE_BUILD_EXIT|BUILD EXIT

HUD_RIDE_SORT|Специализация
HUD_RIDE_SORT|Sort
HUD_RIDE_OPEN_CLOSE|Открыть/Закрыть
HUD_RIDE_OPEN_CLOSE|Open/Close
HUD_RIDE_RIDES|Горки
HUD_RIDE_RIDES|Rides
HUD_RIDE_SHOPS_AND_STALLS|Магазины и Ларьки
HUD_RIDE_SHOPS_AND_STALLS|Shops and Stalls
HUD_RIDE_GUEST_FACILITIES|Гости
HUD_RIDE_GUEST_FACILITIES|Guest Facilities
HUD_RIDE_STATUS|Статус
HUD_RIDE_STATUS|Status
HUD_RIDE_POPULARITY|Популярность
HUD_RIDE_POPULARITY|Popularity
HUD_RIDE_SATISFACTION|
HUD_RIDE_SATISFACTION|Satisfaction
HUD_RIDE_PROFIT|Прибыль
HUD_RIDE_PROFIT|Profit
HUD_RIDE_QUEUE_LENGTH|Длина очереди
HUD_RIDE_QUEUE_LENGTH|Queue length
HUD_RIDE_QUEUE_TIME|Время в очереди
HUD_RIDE_QUEUE_TIME|Queue time
HUD_RIDE_RELIABILITY|Доходность
HUD_RIDE_RELIABILITY|Reliability
HUD_RIDE_DOWN_TIME|Время ожидания
HUD_RIDE_DOWN_TIME|Down-time
HUD_RIDE_GUEST_FAVOURITE|Любимый аттракцион
HUD_RIDE_GUEST_FAVOURITE|Guest favourite
HUD_RIDE_AGE|Возраст
HUD_RIDE_AGE|Age
HUD_RIDE_RUNNING_COSTS|Стоимость билета
HUD_RIDE_RUNNING_COSTS|Running costs
HUD_RIDE_OPEN_ALL|Открыть все
HUD_RIDE_OPEN_ALL|Open all
HUD_RIDE_CLOSE_ALL|Закрыть все
HUD_RIDE_CLOSE_ALL|Close all

HUD_RIDE_NO_SELECTED_ENTRY|Вход не выбран
HUD_RIDE_NO_SELECTED_ENTRY|No selected entry
HUD_RIDE_NO_ENTRIES|Нет входа
HUD_RIDE_NO_ENTRIES|No entries
HUD_RIDE_ARE_YOU_SURE_DEMOLISH|Вы действительно хотите удалить аттракцион
HUD_RIDE_ARE_YOU_SURE_DEMOLISH|Are you sure you want to completely demolish
HUD_RIDE_CAPACITY|Мощность
HUD_RIDE_CAPACITY|Capacity
HUD_RIDE_EXCITEMENT_FACTOR|Страх
HUD_RIDE_EXCITEMENT_FACTOR|Excitement factor
HUD_RIDE_INTENSITY_FACTOR|Интенсивность
HUD_RIDE_INTENSITY_FACTOR|Intensity factor
HUD_RIDE_NAUSEA_FACTOR|Тошнота
HUD_RIDE_NAUSEA_FACTOR|Nausea factor
HUD_RIDE_BLOCK_SECTIONS|Тормоз
HUD_RIDE_BLOCK_SECTIONS|Block Sections
HUD_RIDE_NUMBER_OF_ROTATIONS|Количество оборотов
HUD_RIDE_NUMBER_OF_ROTATIONS|Number of rotations
HUD_RIDE_NUMBER_OF_SWINGS| Количество вагончиков
HUD_RIDE_NUMBER_OF_SWINGS|Number of swings
HUD_RIDE_SPEED|Скорость
HUD_RIDE_SPEED|Speed
HUD_RIDE_LAUNCH_SPEED|Скорость при старте
HUD_RIDE_LAUNCH_SPEED|Launch speed
HUD_RIDE_TIME_LIMIT|Время 
HUD_RIDE_TIME_LIMIT|Time limit
HUD_RIDE_NUMBER_OF_LAPS|Количество оборотов
HUD_RIDE_NUMBER_OF_LAPS|Number of laps
HUD_RIDE_MAX_GUESTS_ON_RIDE|Макс. гостей на аттракционе
HUD_RIDE_MAX_GUESTS_ON_RIDE|Max. guests on ride
HUD_RIDE_NUMBER_OF_CIRCUITS|Количество механизмов
HUD_RIDE_NUMBER_OF_CIRCUITS|Number of circuits
HUD_RIDE_LIFT_HILL_CHAIN_SPEED|Скорость при подъеме
HUD_RIDE_LIFT_HILL_CHAIN_SPEED|Lift hill chain speed
HUD_RIDE_WAIT_FOR|Отправление при
HUD_RIDE_WAIT_FOR|Wait for
HUD_RIDE_LEAVE_IF_ANOTHER_BOAT|Остановка, пока  другой вагончик прибывает на станцию
